path,sentence
common_voice_ru_18999700.mp3,"Российская Федерация, пожалуйста."
common_voice_ru_18999702.mp3,"Я основывался главным образом на нашем ориентировочном графике, которому мы добросовестно следовали."
common_voice_ru_18999703.mp3,Слово имеет делегация Японии.
common_voice_ru_18999710.mp3,"Надеюсь, это помогает понять это предложение и может содействовать нашему продвижению вперед."
common_voice_ru_18999711.mp3,"Большое спасибо, посол, за ваше заявление."
common_voice_ru_18999714.mp3,Ну вот и все.
common_voice_ru_18999716.mp3,Растущая зависимость вооруженных сил от этих систем делает космос притягательной мишенью для ряда субъектов.
common_voice_ru_18999719.mp3,Мы выражаем озабоченность в связи с пагубными гуманитарными последствиями применения кассетных боеприпасов.
common_voice_ru_18999731.mp3,"Я думаю, это общая цель всех представленных здесь сегодня государств-членов."
common_voice_ru_18999733.mp3,"Надеюсь, что вы все присоединитесь к нам на этом неформальном мероприятии."
common_voice_ru_18999736.mp3,"Уверяю вас, что я ни в коей мере не пытаюсь обойти правила процедуры."
common_voice_ru_18999737.mp3,Нам надо искать понимания чужих позиций и соответственно конструировать компромисс.
common_voice_ru_18999739.mp3,"Я благодарен всем тем коллегам, которые также высказались по данному вопросу."
common_voice_ru_18999746.mp3,"В наш век глобализации информация, идеи и ценности не знают границ."
common_voice_ru_18999748.mp3,"Я хотел бы также поблагодарить всех коллег, которые внесли предложения в этой связи."
common_voice_ru_18999749.mp3,"Такой интеллектуальный подход поможет нам лучше уяснить эту проблему, отложив в сторону политические раздоры."
common_voice_ru_19020590.mp3,"Наконец, многие члены подтвердили свою официальную политику в пользу расширения членского состава Конференции."
common_voice_ru_19020591.mp3,"Господин Председатель, позвольте мне поздравить вас с принятием председательства на Конференции по разоружению."
common_voice_ru_19020594.mp3,"Кроме того, одним из авторов проекта резолюции стала делегация Туркменистана."
common_voice_ru_19020595.mp3,"Эта угроза удвоится, если некоторые страны будут наращивать свой ударный потенциал класса ""космос-земля""."
common_voice_ru_19020598.mp3,Ну и на этом я хотел бы перейти к нашей дискуссии по ядерному разоружению.
common_voice_ru_19020600.mp3,"Мы выступаем против любой гонки вооружений, в том числе ядерных вооружений."
common_voice_ru_19020602.mp3,И поэтому я предлагаю устроить овацию господину Орджоникидзе.
common_voice_ru_19050765.mp3,Возьмем проблему определения.
common_voice_ru_19050766.mp3,Нас обнадежило качество дискуссии на второй сессии Подготовительного комитета в прошлом месяце.
common_voice_ru_19050767.mp3,"Для этих стран космическое пространство являет собой среду, сопряженную с потенциалом военного использования."
common_voice_ru_19050768.mp3,"Насколько я понимаю, Комиссия сама должна решить, как распределить время для рассмотрения этих пунктов."
common_voice_ru_19050769.mp3,"Если она действительно намерена выполнить свой мандат, она просто не может допустить дальнейшего бездействия."
common_voice_ru_19050770.mp3,"Однако проект резолюции не должен предвосхищать результаты обсуждений, проводимых в рамках Конференции по разоружению."
common_voice_ru_19050773.mp3,Можно ли мне напомнить ход событий?
common_voice_ru_19050774.mp3,Это работает против самой основы многосторонности и поиска глобальных решений любого рода.
common_voice_ru_19050776.mp3,Речь идет о федеральном празднике.
common_voice_ru_19050782.mp3,Я хочу лишь обозначить определенное понимание.
common_voice_ru_19050783.mp3,Я хотел бы поблагодарить посла Мексики за его добрые слова.
common_voice_ru_19050784.mp3,"Кроме того, Швеция участвует в Коалиции за новую повестку дня."
common_voice_ru_19050790.mp3,"Мы посчитали, что он будет задавать темп деятельности в области ядерного разоружения."
common_voice_ru_26420287.mp3,Причины преступного военного вторжения в Ливию никоим образом не являются гуманитарными.
common_voice_ru_26420288.mp3,Неинфекционные заболевания являются основной причиной смертности во всем мире.
common_voice_ru_26420290.mp3,"Для нас лучше быть здоровыми, чем богатыми»."
common_voice_ru_26420293.mp3,"Во-первых, проект выдержан в духе уважения к межправительственному характеру Организации Объединенных Наций."
common_voice_ru_26420307.mp3,Одновременно мы поддержали международные санкции против сирийского руководства.
common_voice_ru_26420308.mp3,Собеседники потеснились.
common_voice_ru_26420310.mp3,Вы не можете ими заразиться.
common_voice_ru_26420345.mp3,Мы не приветствуем наметившуюся в последние годы тенденцию снижения количества национальных докладов.
common_voice_ru_26420346.mp3,Мы хотели бы также приветствовать вас в качестве Председателя этого важного форума.
